188,9,4561
188,12,6690
189,2,191
189,2,192
189,2,963
189,4,3247
189,9,190
190,8,189
191,7,189
192,7,189
194,2,5164
194,9,1088
195,2,7474
195,4,14685
195,9,443
195,11,196
195,11,524
196,7,195
196,7,443
196,9,524
200,2,14367
202,9,1023
203,8,2185
206,4,2840
206,6,207
207,6,206
207,6,23229
207,12,515
207,12,1150
208,9,209
209,8,208
210,2,418
210,2,792
210,2,1008
210,2,5493
210,3,6713
210,3,10819
210,3,10822
210,3,10823
210,3,10824
210,3,10825
210,9,1007
212,6,1295
212,9,1296
213,2,215
213,6,216
213,9,214
214,6,215
214,8,213
215,9,216
216,6,213
216,8,215
217,8,3633
218,9,219
218,11,2067
219,8,218
221,9,222
221,12,320
222,8,221
223,6,502
223,6,891
223,6,892
223,6,893
223,9,813
223,9,6033
223,11,2520
223,12,2222
223,12,30450
225,8,813
225,9,987
226,2,376
227,9,33010
228,9,1594
232,2,371
232,2,2424
232,9,372
232,9,35320
235,2,779
235,2,780
235,2,781
235,2,1363
235,2,1364
235,2,1365
235,2,1366
235,2,1367
235,2,1368
235,2,1369
235,2,1505
235,2,1506
235,2,2171
235,2,2512
235,2,2513
235,2,2514
235,2,2515
235,2,2597
235,2,4447
235,2,5348
235,2,5460
235,2,6115
235,2,6198
235,2,6231
235,2,6438
235,2,6467
235,2,8331
235,2,8609
235,2,9785
235,2,9786
235,2,9963
235,2,10531
235,2,10703
235,2,12117
235,2,13837
235,2,13839
235,2,14735
235,2,21419
235,2,21867
235,2,24169
235,2,28479
235,2,32005
235,2,34430
235,2,35798
235,3,5578
235,3,10766
235,3,33145
235,3,33146
235,3,33148
235,3,33149
235,3,33150
235,3,33152
235,3,35901
235,3,36269
235,3,36760
235,4,7303
235,4,9839
235,5,8310
235,5,25517
235,6,34036
237,4,1631
237,6,4246
237,6,13731
237,8,35134
237,9,12471
237,9,35134
238,9,5691
240,9,1813
240,11,669
241,9,487
243,2,507
245,8,1913
246,11,18393
246,12,6702
247,2,1906
247,2,1907
247,4,30145
247,6,647
247,9,1904
247,9,1905
248,2,641
248,9,642
249,2,449
249,2,450
249,2,451
249,2,452
249,2,4886
249,3,31133
249,9,6811
250,2,844
250,2,911
250,2,7430
250,2,10732
251,9,2971
253,6,17785
253,9,254
254,8,253
254,9,255
255,8,254
257,9,1956
259,6,260
260,2,7579
260,6,259
260,9,261
261,8,260
261,9,262
262,8,261
263,2,12069
263,9,264
264,8,263
264,9,265
265,8,264
265,9,5258
266,5,858
269,2,762
269,2,834
269,2,1686
269,2,2889
269,2,4835
269,2,8247
269,2,35118
270,3,7728
270,6,777
273,11,4483
274,4,2176
274,4,3222
274,4,3223
274,9,3349
274,9,5859
275,2,1874
275,3,112
275,5,964
276,4,632
276,9,277
277,2,631
277,2,7066
277,4,4997
277,8,276
281,11,147
282,11,1473
283,2,37423
283,4,8950
283,4,23583
283,8,5494
284,6,1488
285,2,1789
286,9,1736
287,6,1859
287,9,551
287,9,33566
288,9,1669
288,11,5962
289,2,707
289,3,472
289,9,706
289,9,5147
290,4,1381
290,8,1124
290,9,396
291,2,4508
291,8,62
291,9,2595
293,2,1752
293,2,1754
293,2,1755
293,2,1756
293,2,1757
293,2,1758
293,6,1683
293,6,1748
293,8,1597
293,11,1718
294,9,295
295,8,294
297,2,4361
298,2,454
298,2,1994
298,3,9332
298,5,873
298,8,48
299,5,48
300,9,1225
302,2,2614
302,4,7308
302,5,2613
302,9,2613
303,11,50
304,8,49
305,3,4923
305,3,12769
305,3,20385
311,4,313
311,6,8542
312,8,314
313,10,311
314,8,8542
314,9,312
317,2,6151
317,4,6152
317,6,2952
317,8,408
318,5,1234
318,9,2217
320,9,3323
320,12,221
322,8,852
324,3,33741
324,6,1288
324,8,2733
324,9,1289
328,2,23177
329,3,10735
331,2,796
331,6,34745
331,9,332
332,8,331
334,8,520
336,9,771
338,4,3868
338,6,5415
343,2,2580
345,4,2517
345,9,2035
346,2,9967
349,6,3301
350,9,351
351,2,2947
351,8,350
351,9,352
352,2,1376
352,2,2948
352,2,12591
352,8,351
352,9,353
353,8,352
355,2,1531
355,2,6330
355,2,28603
355,4,1815
355,9,2787
355,11,1066
355,12,6628
356,4,7559
356,5,14829
356,5,33047
356,5,34321
356,5,34662
356,6,6922
356,6,12565
356,6,22297
356,6,25537
356,8,11741
356,11,37033
356,12,10012
357,9,2131
361,9,362
362,6,363
362,8,361
363,6,362
363,9,1071
366,2,4718
366,8,6443
367,8,103
368,2,2873
368,2,5347
368,8,972
368,9,1401
369,3,37451
370,6,693
370,8,769
371,7,232
372,2,1078
372,6,35320
372,8,232
373,6,374
373,6,375
374,6,373
375,2,3232
375,6,373
376,7,226
377,8,1733
377,9,378
378,2,12351
